x: 0, y: 0Vx: 0, Vy: 0time0
x: 1.20307, y: 0.642976Vx: 0.770276, Vy: 0.392686time1.84
x: 1.21072, y: 0.646903Vx: 0.760628, Vy: 0.392686time1.85
x: 1.21828, y: 0.65083Vx: 0.750628, Vy: 0.392686time1.86
x: 1.22574, y: 0.654757Vx: 0.740628, Vy: 0.392686time1.87
x: 1.23309, y: 0.658683Vx: 0.730628, Vy: 0.392686time1.88
x: 1.24035, y: 0.66261Vx: 0.720628, Vy: 0.392686time1.89
x: 1.2475, y: 0.666537Vx: 0.710628, Vy: 0.392686time1.9
x: 1.25456, y: 0.670464Vx: 0.700628, Vy: 0.392686time1.91
x: 1.26152, y: 0.674391Vx: 0.690628, Vy: 0.392686time1.92
x: 1.26837, y: 0.678318Vx: 0.680628, Vy: 0.392686time1.93
x: 1.27513, y: 0.682245Vx: 0.670628, Vy: 0.392686time1.94
x: 1.28179, y: 0.686171Vx: 0.660628, Vy: 0.392686time1.95
x: 1.28834, y: 0.690098Vx: 0.650628, Vy: 0.392686time1.96
x: 1.2948, y: 0.694025Vx: 0.640628, Vy: 0.392686time1.97
x: 1.30115, y: 0.697952Vx: 0.630628, Vy: 0.392686time1.98
x: 1.30741, y: 0.701879Vx: 0.620628, Vy: 0.392686time1.99
x: 1.31357, y: 0.705806Vx: 0.610628, Vy: 0.392686time2
x: 1.31962, y: 0.709733Vx: 0.600628, Vy: 0.392686time2.01
x: 1.32558, y: 0.713659Vx: 0.590628, Vy: 0.392686time2.02
x: 1.33144, y: 0.717586Vx: 0.580628, Vy: 0.392686time2.03
x: 1.33719, y: 0.721513Vx: 0.570628, Vy: 0.392686time2.04
x: 1.34285, y: 0.72544Vx: 0.560628, Vy: 0.392686time2.05
x: 1.3484, y: 0.729367Vx: 0.550628, Vy: 0.392686time2.06
x: 1.35386, y: 0.733294Vx: 0.540628, Vy: 0.392686time2.07
x: 1.35922, y: 0.737221Vx: 0.530628, Vy: 0.392686time2.08
x: 1.36447, y: 0.741147Vx: 0.520628, Vy: 0.392686time2.09
x: 1.36963, y: 0.745068Vx: 0.510628, Vy: 0.391419time2.1
x: 1.37469, y: 0.748976Vx: 0.500628, Vy: 0.390103time2.11
x: 1.37964, y: 0.75287Vx: 0.490628, Vy: 0.388786time2.12
x: 1.3845, y: 0.756752Vx: 0.480628, Vy: 0.38747time2.13
x: 1.38925, y: 0.76062Vx: 0.470628, Vy: 0.386153time2.14
x: 1.39391, y: 0.764475Vx: 0.460628, Vy: 0.384837time2.15
x: 1.39847, y: 0.768316Vx: 0.450628, Vy: 0.38352time2.16
x: 1.40292, y: 0.772145Vx: 0.440628, Vy: 0.382203time2.17
x: 1.40728, y: 0.775947Vx: 0.430628, Vy: 0.378086time2.18
x: 1.41154, y: 0.779707Vx: 0.420628, Vy: 0.373944time2.19
x: 1.41569, y: 0.783425Vx: 0.410628, Vy: 0.369802time2.2
x: 1.41975, y: 0.787103Vx: 0.400628, Vy: 0.365659time2.21
x: 1.42371, y: 0.790739Vx: 0.390628, Vy: 0.361517time2.22
x: 1.42756, y: 0.794333Vx: 0.380628, Vy: 0.357375time2.23
x: 1.43132, y: 0.797886Vx: 0.370628, Vy: 0.353233time2.24
x: 1.43497, y: 0.801392Vx: 0.360628, Vy: 0.3471time2.25
x: 1.43853, y: 0.804825Vx: 0.350628, Vy: 0.339426time2.26
x: 1.44199, y: 0.808181Vx: 0.340628, Vy: 0.331753time2.27
x: 1.44534, y: 0.81146Vx: 0.330628, Vy: 0.32408time2.28
x: 1.4486, y: 0.814662Vx: 0.320628, Vy: 0.316407time2.29
x: 1.45176, y: 0.817788Vx: 0.310628, Vy: 0.308733time2.3
x: 1.45481, y: 0.820837Vx: 0.300628, Vy: 0.300628time2.31
x: 1.45777, y: 0.823793Vx: 0.290628, Vy: 0.290628time2.32
x: 1.46062, y: 0.826649Vx: 0.280628, Vy: 0.280628time2.33
x: 1.46338, y: 0.829405Vx: 0.270628, Vy: 0.270628time2.34
x: 1.46604, y: 0.832062Vx: 0.260628, Vy: 0.260628time2.35
x: 1.46859, y: 0.834618Vx: 0.250628, Vy: 0.250628time2.36
x: 1.47105, y: 0.837074Vx: 0.240628, Vy: 0.240628time2.37
x: 1.47341, y: 0.83943Vx: 0.230628, Vy: 0.230628time2.38
x: 1.47566, y: 0.841687Vx: 0.220628, Vy: 0.220628time2.39
x: 1.47782, y: 0.843843Vx: 0.210628, Vy: 0.210628time2.4
x: 1.47987, y: 0.845899Vx: 0.200628, Vy: 0.200628time2.41
x: 1.48183, y: 0.847856Vx: 0.190628, Vy: 0.190628time2.42
x: 1.48369, y: 0.849712Vx: 0.180628, Vy: 0.180628time2.43
x: 1.48544, y: 0.851468Vx: 0.170628, Vy: 0.170628time2.44
x: 1.4871, y: 0.853124Vx: 0.160628, Vy: 0.160628time2.45
x: 1.48866, y: 0.854681Vx: 0.150628, Vy: 0.150628time2.46
x: 1.49011, y: 0.856137Vx: 0.140628, Vy: 0.140628time2.47
x: 1.49147, y: 0.857493Vx: 0.130628, Vy: 0.130628time2.48
x: 1.49272, y: 0.858749Vx: 0.120628, Vy: 0.120628time2.49
x: 1.49388, y: 0.859906Vx: 0.110628, Vy: 0.110628time2.5
x: 1.49494, y: 0.860962Vx: 0.100628, Vy: 0.100628time2.51
x: 1.49589, y: 0.861918Vx: 0.0906276, Vy: 0.0906276time2.52
x: 1.49675, y: 0.862775Vx: 0.0806276, Vy: 0.0806276time2.53
x: 1.49751, y: 0.863531Vx: 0.0706276, Vy: 0.0706276time2.54
x: 1.49816, y: 0.864187Vx: 0.0606276, Vy: 0.0606276time2.55
x: 1.49872, y: 0.864743Vx: 0.0506276, Vy: 0.0506276time2.56
x: 1.49917, y: 0.8652Vx: 0.0406276, Vy: 0.0406276time2.57
x: 1.49953, y: 0.865556Vx: 0.0306276, Vy: 0.0306276time2.58
x: 1.49979, y: 0.865812Vx: 0.0206276, Vy: 0.0206276time2.59
x: 1.49994, y: 0.865969Vx: 0.0106276, Vy: 0.0106276time2.6
x: 1.5, y: 0.866025Vx: 0.000627618, Vy: 0.000627618time2.61
x: 1.49996, y: 0.866069Vx: -0.00937238, Vy: 0.00937238time2.62
x: 1.49981, y: 0.866213Vx: -0.0193724, Vy: 0.0193724time2.63
x: 1.49957, y: 0.866456Vx: -0.0293724, Vy: 0.0293724time2.64
x: 1.49922, y: 0.8668Vx: -0.0393724, Vy: 0.0393724time2.65
x: 1.49878, y: 0.867244Vx: -0.0493724, Vy: 0.0493724time2.66
x: 1.49824, y: 0.867788Vx: -0.0593724, Vy: 0.0593724time2.67
x: 1.49759, y: 0.868431Vx: -0.0693724, Vy: 0.0693724time2.68
x: 1.49685, y: 0.869175Vx: -0.0793724, Vy: 0.0793724time2.69
x: 1.49601, y: 0.870019Vx: -0.0893724, Vy: 0.0893724time2.7
x: 1.49506, y: 0.870962Vx: -0.0993724, Vy: 0.0993724time2.71
x: 1.49402, y: 0.872006Vx: -0.109372, Vy: 0.109372time2.72
x: 1.49288, y: 0.87315Vx: -0.119372, Vy: 0.119372time2.73
x: 1.49163, y: 0.874394Vx: -0.129372, Vy: 0.129372time2.74
x: 1.49029, y: 0.875737Vx: -0.139372, Vy: 0.139372time2.75
x: 1.48884, y: 0.877181Vx: -0.149372, Vy: 0.149372time2.76
x: 1.4873, y: 0.878725Vx: -0.159372, Vy: 0.159372time2.77
x: 1.48566, y: 0.880369Vx: -0.169372, Vy: 0.169372time2.78
x: 1.48391, y: 0.882112Vx: -0.179372, Vy: 0.179372time2.79
